"Source","Target","Weight"
"(E)-2-butenoic acid","Alkyl","2"
"(Hydroxyethyl)methacrylate","Acrylamide","3"
"(Hydroxyethyl)methacrylate","Acrylic acid","4"
"100s","100F","2"
"11F","10B","2"
"12B","10R","8"
"12B","11C","2"
"12B","12A","24"
"13B","11C","2"
"13B","12A","9"
"13B","12B","7"
"14 (number)","12 (number)","5"
"14A","12A","2"
"14A","12B","9"
"2,3,3,3-Tetrafluoropropene","1,3,3,3-Tetrafluoropropene","3"
"2-Butoxyethanol","2-(2-Ethoxyethoxy)ethanol","2"
"2-Methoxyethanol","1-Propanol","2"
"2-Pyrrolidone","1-Propanol","2"
"2-Pyrrolidone","2-Methoxyethanol","2"
"6O","1O","2"
"A roads in Zone 1 of the Great Britain numbering scheme","Aluminium oxide","2"
"AC3","AC1","4"
"AMAX","Aluminium alloy","2"
"Abrasion (mechanical)","21c","3"
"Abrasive","Abrasion (mechanical)","3"
"Abrus precatorius","Abelmoschus moschatus","2"
"Acicular ferrite","Absolute value","2"
"Acid gas","12A","5"
"Acid gas","12B","3"
"Acid gas","Acid dissociation constant","3"
"Acid strength","Acetic acid","2"
"Acid strength","Acid dissociation constant","3"
"Acid strength","Acid salt","4"
"Acmella oleracea","Abelmoschus moschatus","2"
"Acmella oleracea","Abrus precatorius","2"
"Acorus calamus","Abelmoschus moschatus","2"
"Acorus calamus","Abrus precatorius","2"
"Acorus calamus","Acmella oleracea","2"
"Acrylic acid","Acid salt","2"
"Acrylic acid","Acrylamide","4"
"Acrylic resin","2-(2-Ethoxyethoxy)ethanol","2"
"Acrylic resin","2-Butoxyethanol","2"
"Acrylic resin","Acid value","5"
"Acrylonitrile butadiene styrene","Acrylic resin","4"
"Active Power","AC power","2"
"Active layer","1X","2"
"Active layer","2X","2"
"Addition","10B","3"
"Addition","Accordance","3"
"Addition","Acyl halide","2"
"Adipic acid","Aconitic acid","3"
"Adsorption","Acid salt","2"
"Aerosol spray","Aerosol Can","4"
"Aerospace manufacturer","Aerospace engineering","24"
"Afterlife","Addition","7"
"Ageing","002 - Early Stage","2"
"Agglomerate","Accelerant","3"
"Air embolism","Ageing","2"
"Air knife","Air curtain","2"
"Airflow","12B","4"
"Algaculture","Acetic acid","2"
"Algae","Acid strength","2"
"Alkali","Abrasive blasting","3"
"Alkali","Accelerant","2"
"Alkali hydroxide","Acetic acid","2"
"Alkali metal","Acid dissociation constant","2"
"Alkali metal","Acid gas","3"
"Alkali metal","Acid strength","2"
"Alkali metal","Actinide","7"
"Alkali metal","Alkali","2"
"Alkali metal","Alkali hydroxide","4"
"Alkali metal oxide","Alkali hydroxide","4"
"Alkali metal oxide","Alkali metal","6"
"Alkaline earth metal","Acid gas","2"
"Alkaline earth metal","Actinide","7"
"Alkaline earth metal","Active layer","2"
"Alkaline earth metal","Alkali metal","60"
"Alkaline earth metal","Alkali metal halide","2"
"Alkene","Alkane","11"
"Alkoxide","Acetylacetone","2"
"Alkoxide","Alkali hydroxide","2"
"Alkoxy group","Adamantane","2"
"Alkyd","Acrylic resin","2"
"Alkyl","Acetone","2"
"Alkyl","Acid value","3"
"Alkyl","Acrylic acid","2"
"Alkyl","Acrylic resin","14"
"Alkyl","Acrylonitrile","2"
"Alkyl","Alkali metal","3"
"Alkyl","Alkene","4"
"Alkyl","Alkoxide","2"
"Alkyl","Alkoxy group","3"
"Alkyl phosphate","Alkoxide","2"
"Alkyne","Acetylene","4"
"Alkyne","Alkane","2"
"Alkyne","Alkene","9"
"Alkyne","Alkyl","4"
"Allotropes of carbon","Accordance","3"
"Alloy","Accordance","3"
"Alloy","Addition","2"
"Alloy","Alkali metal","3"
"Alloy","Allotropes of carbon","35"
"Alloy steel","Abrasion (mechanical)","5"
"Allyl group","Acetone","2"
"Allyl group","Alkyl","2"
"Alpha","Addition","4"
"Alpha","Alkyl","6"
"Alpha and beta carbon","Alkyl","8"
"Alpha particle","Alpha decay","9"
"Alpha value","Alpha","8"
"Aluminium alloy","AL3","7"
"Aluminium alloy","ALSN","2"
"Aluminium alloy","Abrasion (mechanical)","7"
"Aluminium alloy","Absolute value","3"
"Aluminium alloy","Accordance","4"
"Aluminium alloy","Addition","2"
"Aluminium alloy","Advance ratio","2"
"Aluminium alloy","Adverse effect","2"
"Aluminium alloy","Aerospace engineering","2"
"Aluminium alloy","Aerospace manufacturer","2"
"Aluminium alloy","Afterlife","2"
"Aluminium alloy","Ageing","10"
"Aluminium alloy","Air cooling","2"
"Aluminium alloy","Air pollution","2"
"Aluminium alloy","Aircraft diesel engine","2"
"Aluminium alloy","Aircraft dynamic modes","2"
"Aluminium alloy","Airfoil","2"
"Aluminium alloy","Alkali metal","2"
"Aluminium alloy","Alkaline earth metal","4"
"Aluminium alloy","Alloy","9"
"Aluminium alloy","Alloy steel","5"
"Aluminium alloy","Alpha","2"
"Aluminium alloy","AlterNative","2"
"Aluminium alloy","Aluminium","7"
"Aluminium chloride","Alkali metal","2"
"Aluminium diboride","Aluminium alloy","3"
"Aluminium fluoride","Alkali metal","2"
"Aluminium fluoride","Alkaline earth metal","3"
"Aluminium fluoride","Aluminium alloy","6"
"Aluminium hydroxide","Aluminium alloy","2"
"Aluminium hydroxide","Aluminium chloride","7"
"Aluminium nitride","Aluminium alloy","4"
"Aluminium nitride","Aluminium boride","2"
"Aluminium oxide","Abrasion (mechanical)","3"
"Aluminium oxide","Activated carbon","2"
"Aluminium oxide","Agglomerate","3"
"Aluminium oxide","Alb","2"
"Aluminium oxide","Alkali","2"
"Aluminium oxide","Alkali metal oxide","6"
"Aluminium oxide","Alloy","4"
"Aluminium oxide","Aluminium alloy","9"
"Aluminium oxide","Aluminium boride","5"
"Aluminium oxide","Aluminium chloride","23"
"Aluminium oxide","Aluminium hydroxide","22"
"Aluminium oxide","Aluminium nitride","40"
"Aluminium powder","Activated carbon","2"
"Aluminium powder","Alloy","6"
"Aluminium powder","Aluminium oxide","2"
"Aluminium silicate","Aluminium oxide","2"
"Aluminium sulfide","Aluminium hydroxide","2"
"Aluminium sulfide","Aluminium oxide","7"
"Aluminosilicate","Aluminium oxide","2"
"Aluminothermic reaction","Alkali metal","2"
"Aluminothermic reaction","Alkaline earth metal","2"
"Aluminothermic reaction","Aluminium fluoride","3"
"Aluminothermic reaction","Aluminium oxide","3"
"Aluminum electrolytic capacitor","Aluminium alloy","10"
"Amblygonite","Albite","4"
"Amide","Alkyne","2"
"Amine","1-Amino-2-propanol","4"
"Amine","Acrylic acid","3"
"Amine","Agglomerate","5"
"Amine","Alkali metal","2"
"Amine","Alkyl","18"
"Amine","Alpha and beta carbon","8"
"Amino acid","Acid gas","2"
"Amino acid","Alanine","4"
"Amino acid","Alkali metal","2"
"Amino acid","Alkyl","24"
"Amino acid","Alpha","2"
"Amino acid","Alpha and beta carbon","8"
"Amino acid","Amine","15"
"Ammonia","Aluminium sulfate","3"
"Ammonium","2-Mercaptoethanol","2"
"Ammonium","Acid strength","2"
"Ammonium acetate","Acetic acid","2"
"Ammonium bisulfate","Ammonium","2"
"Ammonium carbonate","Ammonium bicarbonate","4"
"Ammonium chloride","Acetic acid","2"
"Ammonium chloride","Acid strength","2"
"Ammonium chloride","Acoustic resonance","3"
"Ammonium chloride","Alkali","4"
"Ammonium chloride","Aluminium alloy","2"
"Ammonium chloride","Aluminium chloride","13"
"Ammonium chloride","Aluminium oxide","3"
"Ammonium chloride","Ammonium","2"
"Ammonium dihydrogen phosphate","Aluminium oxide","2"
"Ammonium dihydrogen phosphate","Aluminium powder","2"
"Ammonium fluoride","Acyl halide","3"
"Ammonium fluoride","Addition","6"
"Ammonium fluoride","Aluminium fluoride","2"
"Ammonium heptamolybdate","Acetic acid","2"
"Ammonium heptamolybdate","Ammonium","4"
"Ammonium hydroxide","Acetic acid","2"
"Ammonium hydroxide","Aluminium chloride","3"
"Ammonium hydroxide","Aluminium hydroxide","3"
"Ammonium hydroxide","Aluminium oxide","3"
"Ammonium hydroxide","Aluminium sulfate","3"
"Ammonium hydroxide","Ammonia","4"
"Ammonium hydroxide","Ammonium","4"
"Ammonium hydroxide","Ammonium bicarbonate","2"
"Ammonium hydroxide","Ammonium carbonate","8"
"Ammonium hydroxide","Ammonium chloride","3"
"Ammonium metavanadate","Amine","2"
"Ammonium metavanadate","Ammonium","6"
"Ammonium metavanadate","Ammonium heptamolybdate","2"
"Ammonium oxalate","Ammonium hydroxide","4"
"Ammonium phosphate","Aluminium oxide","2"
"Ammonium phosphate","Aluminium powder","2"
"Ammonium phosphate","Ammonium dihydrogen phosphate","2"
"Ammonium sulfate","Acid strength","2"
"Ammonium sulfate","Aluminium sulfate","4"
"Ammonium sulfate","Ammonia","3"
"Ammonium sulfate","Ammonium","14"
"Ammonium sulfate","Ammonium carbonate","13"
"Ammonium sulfate","Ammonium chloride","6"
"Ammonium sulfate","Ammonium heptamolybdate","4"
"Ammonium sulfate","Ammonium hydroxide","13"
"Ammonium sulfate","Ammonium metavanadate","4"
"Amorphous carbon","Allotropes of carbon","3"
"Amorphous metal","A17","2"
"Amphibole","Albite","4"
"Amphibole","Amblygonite","4"
"Amphibolite","Albite","2"
"Amphibolite","Amblygonite","2"
"Amphibolite","Amphibole","2"
"Ampoule","Alloy","3"
"Analcime","Albite","4"
"Analcime","Amblygonite","4"
"Analcime","Amphibole","4"
"Analcime","Amphibolite","2"
"Anatomical terms of motion","Accordance","3"
"Andrographis paniculata","Abelmoschus moschatus","2"
"Andrographis paniculata","Abrus precatorius","2"
"Andrographis paniculata","Acmella oleracea","2"
"Andrographis paniculata","Acorus calamus","2"
"Anisomeles malabarica","Abelmoschus moschatus","2"
"Anisomeles malabarica","Abrus precatorius","2"
"Anisomeles malabarica","Acmella oleracea","2"
"Anisomeles malabarica","Acorus calamus","2"
"Anisomeles malabarica","Andrographis paniculata","2"
"Annealing temperature","Accordance","10"
"Annealing temperature","Addition","4"
"Annular fluidized bed","Accordance","2"
"Anthracite","Amorphous carbon","6"
"Antibody fragment","Antibody","4"
"Antimony","Abelmoschus moschatus","2"
"Antimony","Abrus precatorius","2"
"Antimony","Acetic acid","2"
"Antimony","Acetic anhydride","2"
"Antimony","Acmella oleracea","2"
"Antimony","Acorus calamus","2"
"Antimony","Addition","4"
"Antimony","Aldehyde","2"
"Antimony","Alkane","2"
"Antimony","Alkanolamine","2"
"Antimony","Alloy","13"
"Antimony","Aluminium alloy","9"
"Antimony","Ammonium","2"
"Antimony","Ammonium hydroxide","2"
"Antimony","Andrographis paniculata","2"
"Antimony","Anisomeles malabarica","2"
"Antimony trichloride","Aluminium chloride","2"
"Antimony trichloride","Ammonium chloride","2"
"Antimony trioxide","Aluminium alloy","2"
"Antioxidant","Animal","2"
"Apatite","Albite","2"
"Apatite","Amblygonite","2"
"Apatite","Amphibole","2"
"Apatite","Analcime","2"
"Aphrodisiac","Animal","2"
"Aphrodisiac","Antioxidant","2"
"Apoptosis","Animal","2"
"Apoptosis","Antioxidant","2"
"Apoptosis","Aphrodisiac","2"
"Applicant (sketch)","Accordance","12"
"Applicant (sketch)","Acid strength","2"
"Aqua regia","Ammonium carbonate","2"
"Aqua regia","Ammonium hydroxide","2"
"Aqueous solution","Absolute value","2"
"Aqueous solution","Accordance","4"
"Aqueous solution","Acetate","2"
"Aqueous solution","Acetic acid","11"
