"";"cluster";"x";"y";"entity";"entity_type";"size";"color";"display"
"1";15;-12,769481;18,680788;"6_10_carbon_atom";"ngram";1;"#87CEEB";"6 10 CARBON ATOM"
"2";29;43,49706;52,509495;"a_d_converter";"ngram";1;"#BB7C64";"A D CONVERTER"
"3";7;33,599964;-33,12305;"ablative_material";"ngram";1;"#E19239";"ABLATIVE MATERIAL"
"4";1;-15,958375;53,58293;"abnormality_score";"ngram";1;"#54BD01";"ABNORMALITY SCORE"
"5";7;41,808258;-40,441;"above_mention_method";"ngram";1;"#E19239";"ABOVE MENTION METHOD"
"6";31;60,832546;-37,5463;"abradable_coating";"ngram";1;"#BAB5D5";"ABRADABLE COATING"
"7";13;-46,904156;-53,980007;"abradable_layer";"ngram";1;"#C0C0C0";"ABRADABLE LAYER"
"8";13;-46,48049;-60,771072;"abradable_seal";"ngram";1;"#C0C0C0";"ABRADABLE SEAL"
"9";13;-45,870174;-58,395233;"abradable_surface";"ngram";1;"#C0C0C0";"ABRADABLE SURFACE"
"10";31;53,163364;-26,958458;"abrasion_resistant_coating";"ngram";1;"#BAB5D5";"ABRASION RESISTANT COATING"
"11";24;27,202063;-32,454147;"abrasive_coating";"ngram";1;"#BB248B";"ABRASIVE COATING"
"12";24;27,101255;-31,240084;"abrasive_portion";"ngram";1;"#BB248B";"ABRASIVE PORTION"
"13";24;23,344927;-33,335674;"abrasive_water_jet";"ngram";1;"#BB248B";"ABRASIVE WATER JET"
"14";27;6,4517126;42,80537;"abscissa";"ngram";1;"#BB06BB";"ABSCISSA"
"15";41;-18,027578;43,399677;"absolute_location";"ngram";1;"#BA52DA";"ABSOLUTE LOCATION"
"16";41;-21,2826;32,772167;"absolute_orientation";"ngram";1;"#BA52DA";"ABSOLUTE ORIENTATION"
"17";27;1,1815263;46,120735;"absolute_value";"ngram";1;"#BB06BB";"ABSOLUTE VALUE"
"18";40;52,460278;-11,915694;"absorb_layer";"ngram";1;"#BA0DAE";"ABSORB LAYER"
"19";10;21,10864;-51,98017;"absorber_tube";"ngram";1;"#E100A5";"ABSORBER TUBE"
"20";34;18,130741;-15,10725;"absorption_element";"ngram";1;"#BA8458";"ABSORPTION ELEMENT"
"21";45;4,724048;-6,1571364;"abut";"ngram";1;"#BA6687";"ABUT"
"22";14;65,435524;28,84582;"ac_bus";"ngram";1;"#008000";"AC BUS"
"23";14;58,145824;31,724707;"ac_cycle";"ngram";1;"#008000";"AC CYCLE"
"24";39;52,79683;30,026806;"ac_drive_signal";"ngram";1;"#BADC31";"AC DRIVE SIGNAL"
"25";39;52,88004;20,764496;"ac_electrical_power";"ngram";1;"#BADC31";"AC ELECTRICAL POWER"
"26";39;48,11512;25,263077;"ac_induction_motor";"ngram";1;"#BADC31";"AC INDUCTION MOTOR"
"27";14;61,770702;36,954754;"ac_input_signal";"ngram";1;"#008000";"AC INPUT SIGNAL"
"28";14;63,6526;30,73415;"ac_output";"ngram";1;"#008000";"AC OUTPUT"
"29";14;64,014046;29,947985;"ac_power_output";"ngram";1;"#008000";"AC POWER OUTPUT"
"30";14;61,94638;36,796837;"ac_power_signal";"ngram";1;"#008000";"AC POWER SIGNAL"
"31";14;62,892246;30,236074;"ac_power_source";"ngram";1;"#008000";"AC POWER SOURCE"
"32";0;-17,955767;-79,070496;"accelerate_channel";"ngram";1;"#D01702";"ACCELERATE CHANNEL"
"33";10;18,51675;-49,61398;"accelerate_element";"ngram";1;"#E100A5";"ACCELERATE ELEMENT"
"34";47;-21,683683;32,875;"acceleration_measurement";"ngram";1;"#BA671F";"ACCELERATION MEASUREMENT"
"35";16;9,771058;52,85581;"acceleration_parameter";"ngram";1;"#BBFD30";"ACCELERATION PARAMETER"
"36";10;19,806952;-50,139595;"acceleration_section";"ngram";1;"#E100A5";"ACCELERATION SECTION"
"37";12;-27,756525;45,055145;"accelerator_module";"ngram";1;"#A020F0";"ACCELERATOR MODULE"
"38";16;14,977216;50,554996;"accelerator_signal";"ngram";1;"#BBFD30";"ACCELERATOR SIGNAL"
"39";43;-34,01336;13,066049;"accelerometer_housing";"ngram";1;"#BAF0DE";"ACCELEROMETER HOUSING"
"40";41;-17,592005;47,355515;"accelerometer_module";"ngram";1;"#BA52DA";"ACCELEROMETER MODULE"
"41";16;9,872645;52,834;"accelerometer_signal";"ngram";1;"#BBFD30";"ACCELEROMETER SIGNAL"
"42";11;-3,9697483;85,24657;"accept_message";"ngram";1;"#A500E1";"ACCEPT MESSAGE"
"43";26;-43,517063;24,059015;"access_corridor";"ngram";1;"#BBC18F";"ACCESS CORRIDOR"
"44";48;-9,338449;-10,6271515;"access_flap";"ngram";1;"#BA999D";"ACCESS FLAP"
"45";11;-0,7684206;76,48947;"access_grant";"ngram";1;"#A500E1";"ACCESS GRANT"
"46";4;-0,009743403;-40,352028;"access_opening";"ngram";1;"#E10291";"ACCESS OPENING"
"47";4;-6,346591;-49,19426;"access_port";"ngram";1;"#E10291";"ACCESS PORT"
"48";11;-5,1319933;83,3372;"access_request";"ngram";1;"#A500E1";"ACCESS REQUEST"
"49";11;-2,9341974;85,04936;"access_request_message";"ngram";1;"#A500E1";"ACCESS REQUEST MESSAGE"
"50";17;-60,244164;-4,723714;"accessory_drive";"ngram";1;"#BB425B";"ACCESSORY DRIVE"
"51";28;-58,937813;-50,34289;"accessory_gearbox";"ngram";1;"#BB3739";"ACCESSORY GEARBOX"
"52";17;-57,9681;-12,621017;"accessory_shaft";"ngram";1;"#BB425B";"ACCESSORY SHAFT"
"53";43;-41,842228;14,747153;"accidental_firing";"ngram";1;"#BAF0DE";"ACCIDENTAL FIRING"
"54";48;-18,378313;-6,2081842;"accommodate_position";"ngram";1;"#BA999D";"ACCOMMODATE POSITION"
"55";45;5,051216;0,024164457;"accommodation_device";"ngram";1;"#BA6687";"ACCOMMODATION DEVICE"
"56";45;6,0287704;-8,144055;"accommodation_hole";"ngram";1;"#BA6687";"ACCOMMODATION HOLE"
"57";47;-29,70196;32,896362;"accommodation_system";"ngram";1;"#BA671F";"ACCOMMODATION SYSTEM"
"58";1;-6,3095818;59,81139;"accordance";"ngram";1;"#54BD01";"ACCORDANCE"
"59";24;31,080355;-22,593212;"acetal_resin";"ngram";1;"#BB248B";"ACETAL RESIN"
"60";7;43,411102;-40,033295;"acidic_solution";"ngram";1;"#E19239";"ACIDIC SOLUTION"
"61";11;0,8910402;84,37861;"acknowledge_message";"ngram";1;"#A500E1";"ACKNOWLEDGE MESSAGE"
"62";24;32,88235;-24,896393;"acoustic_absorber";"ngram";1;"#BB248B";"ACOUSTIC ABSORBER"
"63";15;-0,7304181;11,979522;"acoustic_assembly";"ngram";1;"#87CEEB";"ACOUSTIC ASSEMBLY"
"64";6;26,188875;33,991318;"acoustic_beam";"ngram";1;"#00A5E1";"ACOUSTIC BEAM"
"65";24;23,188992;-19,799337;"acoustic_coating";"ngram";1;"#BB248B";"ACOUSTIC COATING"
"66";9;31,159756;44,499084;"acoustic_emission_signal";"ngram";1;"#008080";"ACOUSTIC EMISSION SIGNAL"
"67";16;7,620232;45,757923;"acoustic_event";"ngram";1;"#BBFD30";"ACOUSTIC EVENT"
"68";28;-55,989445;-51,70181;"acoustic_liner";"ngram";1;"#BB3739";"ACOUSTIC LINER"
"69";1;-16,626873;55,07102;"acoustic_model";"ngram";1;"#54BD01";"ACOUSTIC MODEL"
"70";48;-3,5457275;-1,9346966;"acoustic_panel";"ngram";1;"#BA999D";"ACOUSTIC PANEL"
"71";9;27,676897;41,76807;"acoustic_path";"ngram";1;"#008080";"ACOUSTIC PATH"
"72";26;-43,681904;38,66568;"acoustic_profile";"ngram";1;"#BBC18F";"ACOUSTIC PROFILE"
"73";26;-47,125366;32,785217;"acoustic_signature";"ngram";1;"#BBC18F";"ACOUSTIC SIGNATURE"
"74";9;27,390917;42,62452;"acoustic_source";"ngram";1;"#008080";"ACOUSTIC SOURCE"
"75";6;25,6643;35,72831;"acoustic_velocity";"ngram";1;"#00A5E1";"ACOUSTIC VELOCITY"
"76";6;32,74664;32,317177;"acousto_optic_modulator";"ngram";1;"#00A5E1";"ACOUSTO OPTIC MODULATOR"
"77";1;-14,213555;61,65801;"acquire_information";"ngram";1;"#54BD01";"ACQUIRE INFORMATION"
"78";1;-3,7977216;50,415867;"acquisition_part";"ngram";1;"#54BD01";"ACQUISITION PART"
"79";7;45,34208;-38,26699;"acrylate_base_monomer";"ngram";1;"#E19239";"ACRYLATE BASE MONOMER"
"80";8;-42,505142;-3,560192;"act_force";"ngram";1;"#FF69B4";"ACT FORCE"
"81";43;-47,81049;4,52588;"act_system";"ngram";1;"#BAF0DE";"ACT SYSTEM"
"82";15;-12,603051;22,754114;"activating";"ngram";1;"#87CEEB";"ACTIVATING"
"83";14;54,223007;36,376278;"activation_circuit";"ngram";1;"#008000";"ACTIVATION CIRCUIT"
"84";35;-37,258686;-31,743807;"activation_member";"ngram";1;"#BAC983";"ACTIVATION MEMBER"
"85";17;-52,92318;-1,0510678;"active_actuator";"ngram";1;"#BB425B";"ACTIVE ACTUATOR"
"86";29;33,083473;59,546837;"active_antenna_array";"ngram";1;"#BB7C64";"ACTIVE ANTENNA ARRAY"
"87";13;-56,198162;-58,44286;"active_clearance_control_system";"ngram";1;"#C0C0C0";"ACTIVE CLEARANCE CONTROL SYSTEM"
"88";46;50,753098;51,18899;"active_filter";"ngram";1;"#BA22F4";"ACTIVE FILTER"
"89";5;-61,685646;19,813856;"active_flow_control";"ngram";1;"#00E1E1";"ACTIVE FLOW CONTROL"
