"";"cluster";"x";"y";"entity";"entity_type";"size";"color"
"1";26;6,0910645;-1,212082;"Коррозийная стойкость, прочность авиационных материалов и конструкций (металлических и композиционных)";"research_area";1;"#BBC18F"
"2";26;8,594464;-1,7103008;"Аэродинамика воздушного винта";"research_area";1;"#BBC18F"
"3";26;7,5900917;-0,3769755;"Динамика полета";"research_area";1;"#BBC18F"
"4";26;7,751427;-1,720011;"Аэроакустика";"research_area";1;"#BBC18F"
"5";26;9,754671;-0,69791955;"Газовая динамика";"research_area";1;"#BBC18F"
"6";45;10,461006;-10,310982;"Аэродинамика";"research_area";1;"#BA6687"
"7";26;9,122393;0,34869182;"Сверхзвуковое и гиперзвуковое обтекание тел";"research_area";1;"#BBC18F"
"8";16;19,04337;-7,709665;"Аэродинамика крыла";"research_area";1;"#BBFD30"
"9";6;5,707883;26,406416;"Гидродинамика";"research_area";1;"#00A5E1"
"10";32;28,139938;-20,172468;"Безопасность полетов при обледенении";"research_area";1;"#BAE753"
"11";26;9,418212;-0,546487;"Испытания авиационного двигателя (прочностные характеристики, ресурсные показатели и т.д.)";"research_area";1;"#BBC18F"
"12";27;-8,605549;22,312157;"Управление развитием предприятия отрасли";"research_area";1;"#BB06BB"
"13";33;-26,399445;0,6298204;"Моделирование аэродинамических процессов";"research_area";1;"#BA2B7F"
"14";5;38,018307;-27,981068;"Неравновесные и высокотемпературные течения газов";"research_area";1;"#00E1E1"
"15";26;8,677567;-0,2668437;"Турбулентные потоки в двигательной установке";"research_area";1;"#BBC18F"
"16";10;-2,2743309;19,408936;"Общеэкономические вопросы";"research_area";1;"#E100A5"
"17";39;35,94249;-8,051898;"Эксплуатационные свойства алюминиевых сплавов";"research_area";1;"#BADC31"
"18";45;10,312025;-13,263164;"Управление пограничным слоем";"research_area";1;"#BA6687"
"19";26;2,8110538;-0,09717191;"Моделирование воздушного движения";"research_area";1;"#BBC18F"
"20";26;5,514449;-1,2397592;"Техническое зрение";"research_area";1;"#BBC18F"
"21";29;-39,429985;45,909855;"Топлива для атмосферных авиационных двигателей";"research_area";1;"#BB7C64"
"22";26;0,19382252;4,3873625;"Сертификация летательного аппарата (стендовые испытания)";"research_area";1;"#BBC18F"
"23";26;8,053677;0,23797382;"Процессы горения топлива в камере сгорания двигательной установки";"research_area";1;"#BBC18F"
