ngram,pubyear,md_freq,wos_freq,pt_freq,total_freq,md_rel_freq,wos_rel_freq,pt_rel_freq,total_rel_freq
machine_learning,2000,3,0,0,3,1.87081522020431E-06,0,0,1.87015746102436E-06
machine_learning,2001,4,0,0,4,1.93706382770592E-06,0,0,1.93656303633718E-06
machine_learning,2002,16,0,0,16,7.26013753423041E-06,0,0,7.25893200240815E-06
machine_learning,2003,9,0,0,9,4.45817562537059E-06,0,0,4.4568642394584E-06
machine_learning,2004,14,0,0,14,5.10486672469199E-06,0,0,5.10369430912566E-06
machine_learning,2005,26,42,9,77,7.38172698909861E-06,3.0146512048556E-05,3.61254999869547E-06,1.03959619383582E-05
machine_learning,2006,21,62,12,95,4.4678065814195E-06,4.4962333167988E-05,4.89089234330804E-06,1.11335540120934E-05
machine_learning,2007,50,32,12,94,8.68006880864146E-06,2.30542235337514E-05,4.10431246951693E-06,9.33270281328369E-06
machine_learning,2008,51,61,16,128,5.80004976670153E-06,4.35850021863952E-05,4.52632567592187E-06,9.32437067054172E-06
machine_learning,2009,102,57,13,172,1.11900595409903E-05,4.01650289434836E-05,3.96857014554578E-06,1.24546374226953E-05
machine_learning,2010,113,71,20,204,1.05472826279721E-05,4.15985076095974E-05,1.07470142107769E-05,1.42842798559304E-05
machine_learning,2011,246,60,101,407,1.95667819038765E-05,3.42543959808175E-05,5.49975033311607E-05,2.51850591338382E-05
machine_learning,2012,496,85,15,596,3.57318531893416E-05,4.81426563192051E-05,8.91701646140686E-06,3.43933426953243E-05
machine_learning,2013,836,84,23,943,5.62480706777193E-05,4.73035564953696E-05,7.31285838967679E-06,4.76656421502168E-05
machine_learning,2014,1606,85,130,1821,7.40737939185876E-05,4.78017655160313E-05,3.52000840469699E-05,6.70658156882595E-05
machine_learning,2015,3642,114,148,3904,0.000140218252289,6.43832815819763E-05,4.42484093743245E-05,0.000125574182643
machine_learning,2016,6825,141,0,6966,0.000273246413616,0.003286789901863,0,0.000278413327006
machine_learning,2017,6844,9,0,6853,0.000847277804367,0.000746392436557,0,0.000847127430809
perovskite_solar_cell,2006,3,0,0,3,6.38258083059928E-07,0,0,3.5158591617137E-07
perovskite_solar_cell,2007,2,0,0,2,3.47202752345658E-07,0,0,1.98568144963483E-07
perovskite_solar_cell,2008,2,0,0,2,2.27452932027511E-07,0,0,1.45693291727214E-07
perovskite_solar_cell,2009,1,0,0,1,1.09706466088141E-07,0,0,7.24106826900887E-08
perovskite_solar_cell,2013,10,2,0,12,6.72823811934441E-07,1.12627515465166E-06,0,6.0656172407487E-07
perovskite_solar_cell,2014,127,136,2,265,5.85764123764672E-06,7.64828248256501E-05,5.41539754568768E-07,9.75971507819263E-06
perovskite_solar_cell,2015,160,213,21,394,6.16005501545134E-06,0.000120295078745,6.27849051932983E-06,1.26732141294243E-05
perovskite_solar_cell,2016,247,0,0,247,9.88891782609557E-06,0,0,9.87196264289466E-06
perovskite_solar_cell,2017,106,0,0,106,1.31226544802599E-05,0,0,1.31030946542835E-05
precision_agriculture,2000,2,0,0,2,1.24721014680287E-06,0,0,1.24677164068291E-06
precision_agriculture,2001,4,0,0,4,1.93706382770592E-06,0,0,1.93656303633718E-06
precision_agriculture,2003,3,0,0,3,1.4860585417902E-06,0,0,1.4856214131528E-06
precision_agriculture,2004,1,0,0,1,3.64633337477999E-07,0,0,3.64549593508976E-07
precision_agriculture,2005,2,10,2,14,5.67825153007585E-07,7.1777409639419E-06,8.02788888598993E-07,1.8901748978833E-06
precision_agriculture,2006,2,3,0,5,4.25505388706619E-07,2.17559676619297E-06,0,5.85976526952283E-07
precision_agriculture,2007,6,10,0,16,1.04160825703698E-06,7.20444485429731E-06,0,1.58854515970786E-06
precision_agriculture,2008,7,15,0,22,7.96085262096288E-07,1.07176234884578E-05,0,1.60262620899936E-06
precision_agriculture,2009,23,5,2,30,2.52324872002723E-06,3.52324815293716E-06,6.1054925316089E-07,2.17232048070266E-06
precision_agriculture,2010,5,6,3,14,4.66693921591688E-07,3.51536684024767E-06,1.61205213161653E-06,9.80293715603069E-07
precision_agriculture,2011,6,6,3,15,4.77238583021378E-07,3.42543959808175E-06,1.63358920785626E-06,9.28196282573888E-07
precision_agriculture,2012,23,8,0,31,1.65692061160254E-06,4.53107353592518E-06,0,1.78891547576351E-06
precision_agriculture,2013,73,14,1,88,4.91161382712142E-06,7.8839260825616E-06,3.17950364768556E-07,4.44811930988238E-06
precision_agriculture,2014,158,7,2,167,7.28745917754474E-06,3.93661598367317E-06,5.41539754568768E-07,6.15046195493649E-06
precision_agriculture,2015,233,18,2,253,8.97058011625102E-06,1.01657813024173E-05,5.97951478031412E-07,8.13787607803136E-06
precision_agriculture,2016,274,2,0,276,1.0969892649191E-05,4.6621133359752E-05,0,1.10310189855827E-05
precision_agriculture,2017,108,0,0,108,1.33702517346045E-05,0,0,1.33503228553077E-05
synthetic_biology,2004,8,0,0,8,2.91706669982399E-06,0,0,2.91639674807181E-06
synthetic_biology,2005,51,4,0,55,1.44795414016934E-05,2.87109638557676E-06,0,7.42568709882725E-06
synthetic_biology,2006,81,7,1,89,1.72329682426181E-05,5.07639245445026E-06,4.07574361942336E-07,1.04303821797506E-05
synthetic_biology,2007,192,11,1,204,3.33314642251832E-05,7.92488933972704E-06,3.42026039126411E-07,2.02539507862752E-05
synthetic_biology,2008,164,19,4,187,1.86511404262559E-05,1.35756564187133E-05,1.13158141898047E-06,1.36223227764945E-05
synthetic_biology,2009,186,16,1,203,2.04054026923941E-05,1.12743940893989E-05,3.05274626580445E-07,1.4699368586088E-05
synthetic_biology,2010,299,37,1,337,2.79082965111829E-05,2.16780955148606E-05,5.37350710538845E-07,2.35970701541596E-05
synthetic_biology,2011,314,57,8,379,2.49754858447855E-05,3.25416761817767E-05,4.35623788761669E-06,2.34524260730336E-05
synthetic_biology,2012,497,62,0,559,3.58038932159331E-05,3.51158199034202E-05,0,3.22581855145743E-05
synthetic_biology,2013,594,58,4,656,3.99657344289058E-05,3.26619794848981E-05,1.27180145907422E-06,3.31587075827595E-05
synthetic_biology,2014,914,68,22,1004,4.21565676473158E-05,3.8241412412825E-05,5.95693730025645E-06,3.69764299566241E-05
synthetic_biology,2015,732,72,10,814,2.81822516956899E-05,4.06631252096692E-05,2.98975739015706E-06,2.61827317293183E-05
synthetic_biology,2016,933,6,0,939,3.73536855536323E-05,0.000139863400079,0,3.75294450270368E-05
synthetic_biology,2017,217,0,0,217,2.68643020963812E-05,0,0,2.68242598111275E-05
unmanned_aerial_vehicle,2001,4,0,0,4,1.93706382770592E-06,0,0,1.93656303633718E-06
unmanned_aerial_vehicle,2002,10,0,0,10,4.53758595889401E-06,0,0,4.53683250150509E-06
unmanned_aerial_vehicle,2003,28,0,0,28,1.38698797233752E-05,0,0,1.38657998560928E-05
unmanned_aerial_vehicle,2004,37,0,0,37,1.3491433486686E-05,0,0,1.34883349598321E-05
unmanned_aerial_vehicle,2005,55,7,33,95,1.56151917077086E-05,5.02441867475933E-06,1.32460166618834E-05,1.28261868070653E-05
unmanned_aerial_vehicle,2006,79,13,40,132,1.68074628539114E-05,9.42758598683619E-06,1.63029744776935E-05,1.54697803115403E-05
unmanned_aerial_vehicle,2007,119,8,79,206,2.06585637645667E-05,5.76355588343785E-06,2.70200570909865E-05,2.04525189312387E-05
unmanned_aerial_vehicle,2008,139,11,102,252,1.5807978775912E-05,7.85959055820241E-06,2.88553261840019E-05,1.8357354757629E-05
unmanned_aerial_vehicle,2009,188,15,105,308,2.06248156245704E-05,1.05697444588115E-05,3.20538357909467E-05,2.23024902685473E-05
unmanned_aerial_vehicle,2010,206,20,66,292,1.92277895695775E-05,1.17178894674922E-05,3.54651468955637E-05,2.04461260682926E-05
unmanned_aerial_vehicle,2011,235,23,114,372,1.86918445016707E-05,1.31308517926467E-05,6.20763898985378E-05,2.30192678078324E-05
unmanned_aerial_vehicle,2012,515,36,54,605,3.71006136945785E-05,2.03898309116633E-05,3.21012592610647E-05,3.49127052528041E-05
unmanned_aerial_vehicle,2013,564,49,152,765,3.79472629931025E-05,2.75937412889656E-05,4.83284554448205E-05,3.86683099097729E-05
unmanned_aerial_vehicle,2014,621,36,223,880,2.86424819573119E-05,2.02454536303191E-05,6.03816826344176E-05,3.24096198823E-05
unmanned_aerial_vehicle,2015,983,48,488,1519,3.78458380011792E-05,2.71087501397795E-05,0.00014590016064,4.88594219862831E-05
unmanned_aerial_vehicle,2016,951,7,0,958,3.80743354356959E-05,0.000163173966759,0,3.82888267687979E-05
unmanned_aerial_vehicle,2017,493,3,0,496,6.10327231959259E-05,0.000248797478852,0,6.13125938540058E-05
