area,ngram,pubyear,nsf_freq,wos_freq,pt_freq,md_freq
чистая,carbon_footprint,2013,10,82,44,805
чистая,carbon_footprint,2014,15,105,42,1092
чистая,carbon_footprint,2015,16,88,112,1308
чистая,carbon_footprint,2016,23,90,114,1260
чистая,carbon_footprint,2017,1,95,118,619
чистая,chp,2013,0,55,23,98
чистая,chp,2014,0,53,31,228
чистая,chp,2015,1,29,18,470
чистая,chp,2016,0,34,20,2081
чистая,chp,2017,0,35,23,134
чистая,environmental_issue,2013,10,65,8,479
чистая,environmental_issue,2014,17,52,9,614
чистая,environmental_issue,2015,10,57,9,777
чистая,environmental_issue,2016,13,60,10,672
чистая,environmental_issue,2017,0,65,14,279
чистая,gas_turbine,2013,8,24,1076,166
чистая,gas_turbine,2014,2,39,1417,318
чистая,gas_turbine,2015,9,41,1424,306
чистая,gas_turbine,2016,7,44,1426,390
чистая,gas_turbine,2017,1,47,1427,152
чистая,microturbine,2013,1,5,4,7
чистая,microturbine,2014,0,4,6,7
чистая,microturbine,2015,0,6,8,28
чистая,microturbine,2016,0,11,9,37
чистая,microturbine,2017,0,13,14,3
чистая,steam_turbine,2013,0,7,475,69
чистая,steam_turbine,2014,1,20,540,192
чистая,steam_turbine,2015,1,5,690,231
чистая,steam_turbine,2016,0,9,693,226
чистая,steam_turbine,2017,0,11,695,72
чистая,supercritical_plant,2015,0,0,0,1
чистая,supercritical_plant,2016,0,4,2,4
чистая,supercritical_plant,2017,0,7,4,3
чистая,thermal_power_station,2013,0,0,37,11
чистая,thermal_power_station,2014,0,1,65,16
чистая,thermal_power_station,2015,0,0,66,12
чистая,thermal_power_station,2016,0,2,68,10
чистая,thermal_power_station,2017,0,5,72,12
чистая,trigeneration,2013,0,0,0,1
чистая,trigeneration,2014,0,2,0,7
чистая,trigeneration,2015,0,1,0,0
чистая,trigeneration,2016,0,4,3,4
чистая,waste_heat,2013,18,56,416,346
чистая,waste_heat,2014,17,53,536,433
чистая,waste_heat,2015,22,66,501,449
чистая,waste_heat,2016,14,68,504,335
чистая,waste_heat,2017,3,72,507,104
