cluster,cluster_name,year,n_preprints,n_articles,n_books_and_chapters
0,urban studies; history of philosophy; cultural sociology,2008,0,0,1
0,urban studies; history of philosophy; cultural sociology,2009,0,0,4
0,urban studies; history of philosophy; cultural sociology,2010,0,0,1
0,urban studies; history of philosophy; cultural sociology,2010,0,0,2
0,urban studies; history of philosophy; cultural sociology,2011,1,5,2
0,urban studies; history of philosophy; cultural sociology,2011,1,5,9
0,urban studies; history of philosophy; cultural sociology,2012,8,40,6
0,urban studies; history of philosophy; cultural sociology,2012,8,40,21
0,urban studies; history of philosophy; cultural sociology,2013,17,51,5
0,urban studies; history of philosophy; cultural sociology,2013,17,51,17
0,urban studies; history of philosophy; cultural sociology,2014,32,71,9
0,urban studies; history of philosophy; cultural sociology,2014,32,71,35
0,urban studies; history of philosophy; cultural sociology,2015,24,93,11
0,urban studies; history of philosophy; cultural sociology,2015,24,93,43
0,urban studies; history of philosophy; cultural sociology,2016,10,103,10
0,urban studies; history of philosophy; cultural sociology,2016,10,103,51
0,urban studies; history of philosophy; cultural sociology,2017,11,104,9
0,urban studies; history of philosophy; cultural sociology,2017,11,104,27
0,urban studies; history of philosophy; cultural sociology,2018,1,62,14
0,urban studies; history of philosophy; cultural sociology,2018,1,62,39
1,natural language processing; computational linguistics; digital humanities,2008,1,2,1
1,natural language processing; computational linguistics; digital humanities,2008,1,2,4
1,natural language processing; computational linguistics; digital humanities,2009,1,3,2
1,natural language processing; computational linguistics; digital humanities,2010,4,8,2
1,natural language processing; computational linguistics; digital humanities,2010,4,8,9
1,natural language processing; computational linguistics; digital humanities,2011,0,0,2
1,natural language processing; computational linguistics; digital humanities,2011,0,0,13
1,natural language processing; computational linguistics; digital humanities,2012,7,20,3
1,natural language processing; computational linguistics; digital humanities,2012,7,20,28
1,natural language processing; computational linguistics; digital humanities,2013,7,33,5
1,natural language processing; computational linguistics; digital humanities,2013,7,33,46
1,natural language processing; computational linguistics; digital humanities,2014,14,27,1
1,natural language processing; computational linguistics; digital humanities,2014,14,27,43
1,natural language processing; computational linguistics; digital humanities,2015,32,48,6
1,natural language processing; computational linguistics; digital humanities,2015,32,48,57
1,natural language processing; computational linguistics; digital humanities,2016,11,77,4
1,natural language processing; computational linguistics; digital humanities,2016,11,77,74
1,natural language processing; computational linguistics; digital humanities,2017,9,70,3
